Sector,Year,Amount,,,,,,,
Agriculture,2017,115,,,,,,,
Agriculture,2018,117,,,,,,,
Agriculture,2019,118,,,,,,,
Agriculture,2020,104,,,,,,,
Agriculture,2021,104,,,,,,,
Mining,2017,529,,,,,,,
Mining,2018,547,,,,,,,
Mining,2019,562,,,,,,,
Mining,2020,569,,,,,,,
Mining,2021,564,,,,,,,
Manufacturing,2017,921,,,,,,,
Manufacturing,2018,932,,,,,,,
Manufacturing,2019,906,,,,,,,
Manufacturing,2020,899,,,,,,,
Manufacturing,2021,909,,,,,,,
Others,2017,134,,,,,,,
Others,2018,136,,,,,,,
Others,2019,134,,,,,,,
Others,2020,138,,,,,,,
Others,2021,147,,,,,,,
Construction,2017,142,,,,,,,
Construction,2018,148,,,,,,,
Construction,2019,140,,,,,,,
Construction,2020,144,,,,,,,
Construction,2021,155,,,,,,,
Services,2017,662,,,,,,,
Services,2018,686,,,,,,,
Services,2019,701,,,,,,,
Services,2020,613,,,,,,,
Services,2021,465,,,,,,,
Commercial,2017,325,,,,,,,
Commercial,2018,334,,,,,,,
Commercial,2019,339,,,,,,,
Commercial,2020,329,,,,,,,
Commercial,2021,332,,,,,,,
Households,2017,1249,,,,,,,
Households,2018,1263,,,,,,,
Households,2019,1265,,,,,,,
Households,2020,1216,,,,,,,
Households,2021,1215,,,,,,,